# SSG Issues Database
# id	file_path	category	status	severity	description	last_updated	source
ISS-013	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	missing-feature	open	high	Builder missing setters present in liqp: withDefaultTimeZone, withEnvironmentMapConfigurator, withSnippetsFolderName, withDateParser, withObjectMapper, withStripSingleLine. Port also lacks defaultTimeZone/environmentMapConfigurator/dateParser fields entirely. See gap-analysis §4.1.	2026-04-07	manual
ISS-014	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	missing-feature	open	medium	parse() has only String overload. Original liqp ships parse(Path), parse(File), parse(InputStream), parse(Reader), parse(CharStream). Required for streaming large templates from disk.	2026-04-07	manual
ISS-015	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidSupport.scala	bug	open	high	Self-declared stub (line 14: 'initial stub. Full implementation in Phase 4'). TemplateParser.evaluate silently returns an empty HashMap for any non-LiquidSupport input. Combined with Template.renderToObject not calling evaluate at all, Inspectable POJOs are silently dropped. See gap-analysis §4.18.	2026-04-07	manual
ISS-016	ssg-liquid/src/main/scala/ssg/liquid/filters/Where.scala	bug	open	high	Inline 70-line rewrite missing major Jekyll/Liquid Where semantics: no dotted property paths (where: 'address.city' looks up literal key), no POJO support (only JMap+Inspectable), no nil/empty/blank literal handling, no collection-property matching, no numeric coercion of string properties. Original is 5 files (Where.java + filters/where/{Jekyll,Liquid,WhereImpl,PropertyResolverHelper,PropertyResolverAdapter}). See gap-analysis §4.11.	2026-04-07	manual
ISS-017	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	bug	open	high	Only parses ISO-8601 inputs. Original ships 63 fallback patterns via filters/date/Parser.java + Ruby ordinal normalization + BasicDateParser.getZonedDateTimeFromTemporalAccessor. Inputs like 'March 1st 2024', '01/15/2024', RFC 2822, '15 Jan' no longer parse. The entire filters/date/* package is skipped. See gap-analysis §4.10.	2026-04-07	manual
ISS-018	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	missing-feature	open	high	strftimeToJava missing ~15 directives vs Ruby strftime: %C %D %F %G %g %V %v %N %R %r %s %T %X %U %W %x %c %+ %:z %::z %:::z, plus %0/%_ width/padding modifiers. Port handles only %-X among modifiers.	2026-04-07	manual
ISS-019	ssg-liquid/src/main/scala/ssg/liquid/filters/Json.scala	bug	open	medium	Hand-rolled serializer regressions vs Jackson: no cycle detection (StackOverflow risk), no TemporalAccessor handling (writes Java toString), doesn't recognize Inspectable, NaN/Infinity emitted as bare tokens (invalid JSON), null map keys quoted as 'null'. See gap-analysis §4.12.	2026-04-07	manual
ISS-020	ssg-liquid/src/main/scala/ssg/liquid/LValue.scala	bug	open	medium	asRubyDate uses ZonedDateTime.from(ta) which throws on partial accessors (LocalDate, LocalTime, Instant) and falls back to ZonedDateTime.now() — silently producing the current time instead of the date. asTemporal also returns now() for non-TA inputs. temporalAsArray only handles ZonedDateTime. isTemporal misses CustomDateFormatRegistry types. See gap-analysis §4.2.	2026-04-07	manual
ISS-021	ssg-liquid/src/main/scala/ssg/liquid/LValue.scala	bug	open	low	asFormattedNumber diverges for trailing-zero BigDecimals: original strips trailing zeros (5.50 -> 5.5); port appends .0 only if no '.' present (5.50 -> 5.50).	2026-04-07	manual
ISS-022	ssg-liquid/src/main/scala/ssg/liquid/tags/Include.scala	bug	open	low	Jekyll branch silently drops non-Map parameters (lines 57-63 have a no-op default case). Original would ClassCastException. Pick one behavior and document; either log a warning or throw.	2026-04-07	manual
ISS-023	ssg-liquid/src/main/scala/ssg/liquid/TemplateContext.scala	missing-feature	open	medium	Missing fields/methods present in liqp: 'template' Template ref, getDateParser() (no BasicDateParser exists in port), getRootFolder() returns Any instead of Path. See gap-analysis §4.4.	2026-04-07	manual
ISS-024	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidParser.scala	bug	open	low	Error recovery silently skips unexpected tokens (line 103 '// Skip unexpected token'). Original liqp parser throws LiquidException with line/column info. UX gap for template authors debugging syntax errors.	2026-04-07	manual
ISS-025	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidParser.scala	test-gap	open	medium	No rule-by-rule grammar coverage verification. Original LiquidParser.g4 has ~46 productions; not exhaustively mapped to Scala parser methods. At-risk rules: id-as-keyword (allows {% assign if = 1 %}), evaluateInOutputTag predicate, output-rule strict/warn/lax alternatives, error_other_tag 4 recovery branches, not_out_end / other_than_tag_end token sets.	2026-04-07	manual
ISS-026	ssg-liquid	missing-file	open	medium	Entire spi/* package skipped (TypesSupport, BasicTypesSupport, Java7DateTypesSupport, Java8DateTypesSupport, SPIHelper). No replacement extension mechanism for custom user types in the port. ServiceLoader doesn't work on JS/Native; design a Scala-3 typeclass replacement (given LiquidTypeSupport[T]) or formally drop SPI from scope and document. See gap-analysis §4.16.	2026-04-07	manual
ISS-027	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	missing-file	open	medium	filters/date/* skipped (5 files: BasicDateParser, Parser, FuzzyDateDateParser, CustomDateFormatRegistry, CustomDateFormatSupport). Required to fix Date filter parsing — see related Date.scala bugs.	2026-04-07	manual
ISS-028	ssg-liquid/src/main/scala/ssg/liquid/filters/Where.scala	missing-file	open	medium	filters/where/* skipped (5 files: WhereImpl, JekyllWhereImpl, LiquidWhereImpl, PropertyResolverAdapter, PropertyResolverHelper). Required to fix Where filter Jekyll/Liquid mode parity — see related Where.scala bug.	2026-04-07	manual
ISS-029	ssg-liquid/src/test/scala	test-gap	open	high	Test coverage ~20-30% of liqp. Port has 280 tests in 12 suites; original has 100+ test files (~1500+ assertions). Missing suites: TemplateSuite (covering render overloads, errors(), max-render-time, max-template-size, ContextHolder), DateFilterSuite, WhereFilterSuite, LValueSuite, LexerSuite, ParserSuite, NodeSuite (14 node test files in original), IncludeRelativeSuite, ProtectionSettings full coverage. See gap-analysis §6.	2026-04-07	manual
ISS-030	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	bug	open	low	Default flavor silently changed from LIQP to JEKYLL (TemplateParser.scala:91). Migration footgun for users porting from liqp; document in port doc.	2026-04-07	manual
ISS-031	ssg-js/src/main/scala/ssg/js/Compressor.scala	incomplete-port	open	high	Multi-pass compression loop unimplemented (TODO at Compressor.scala:1021-1033). Single-pass only; TerserSuite compression tests disabled because the loop hangs. Effectively makes TerserJsCompressor a parse+re-emit, not a minifier.	2026-04-07	manual
ISS-032	ssg-js/src/main/scala/ssg/js/compress/	incomplete-port	open	high	SymbolDef/scope integration missing across compress passes (~50 TODOs in DropUnused, ReduceVars, Inference, Inline, TightenBody, Evaluate, GlobalDefs). Blocks safe inlining, DCE, constant folding, pure-call elision.	2026-04-07	manual
ISS-033	ssg-js/src/main/scala/ssg/js/	missing-file	open	high	sourcemap.js (149 LOC) not ported. OutputStream lacks position tracking. Source map output impossible.	2026-04-07	manual
ISS-034	ssg-js/src/main/scala/ssg/js/Terser.scala	incomplete-port	open	high	minify.js orchestration stubbed (93 LOC vs 413). Missing ecma normalization, mangle cache, format options, error shape, full pipeline sequencing.	2026-04-07	manual
ISS-035	ssg-js/src/main/scala/ssg/js/compress/	missing-feature	open	medium	Specialized compression passes missing: collapse-vars, negate-iife, wrap-iife, hoist_vars, drop_console, logical-assignment lowering.	2026-04-07	manual
ISS-036	ssg-js/src/test/scala/ssg/js/	missing-tests	open	high	Terser test/compress/*.js (168 fixtures, thousands of cases) not ingested. ssg-js has only 6 munit suites with ~no compression coverage. Fixtures use a simple DSL trivial to parse.	2026-04-07	manual
ISS-037	ssg-js/src/main/scala/ssg/js/	missing-file	open	low	mozilla-ast.js (2099 LOC) SpiderMonkey AST format not ported. Public API surface gap; low priority.	2026-04-07	manual
ISS-038	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	incomplete-port	open	medium	preserveLineBreaks option declared in HtmlMinifyOptions but never read by doMinify(). Dead public API.	2026-04-07	manual
ISS-039	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	open	medium	HTML quote-stripping over-conservative ([A-Za-z0-9_-]+ only). htmlcompressor strips quotes from any value with no whitespace/=/<>/quotes.	2026-04-07	manual
ISS-040	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	open	low	No built-in preserve presets for SSI/JSP/PHP/ASP server tags or CDATA sections.	2026-04-07	manual
ISS-041	ssg-minify/src/main/scala/ssg/minify/css/CssMinifier.scala	missing-feature	open	medium	CSS color folding (rgb()/rgba()->hex, named colors->hex), shorthand collapsing (margin/padding/font-weight), vendor-prefix culling not implemented.	2026-04-07	manual
